	fxns_by_genome	category	TG9	Cluster_3B	genomes_other	Cluster_3B_other	genomes_other_percent	Cluster_3B_other_percent	genomes_total_percent
(2R)-3-sulfolactate dehydrogenase (NADP( ))	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
(2R)-sulfolactate sulfo-lyase subunit beta	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
(R)-2-hydroxyisocaproyl-CoA dehydratase alpha subunit	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
(R)-2-hydroxyisocaproyl-CoA dehydratase beta subunit	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
(S)-sulfolactate dehydrogenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
1-phosphatidylinositol phosphodiesterase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
1,2-dihydroxynaphthalene dioxygenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
2-dehydro-3-deoxy-6-phosphogalactonate aldolase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
2-epi-5-epi-valiolone epimerase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
2-formylbenzoate dehydrogenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
2,5-dichlorohydroquinone reductive dechlorinase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
2,5-diketocamphane 1,2-monooxygenase 2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
3-beta-hydroxysteroid dehydrogenase	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
3-oxo-tetronate 4-phosphate decarboxylase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
3-oxo-tetronate kinase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
4-amino-L-phenylalanyl-[CmlP-peptidyl-carrier-protein] 3-hydroxylase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
4-chlorobenzoyl coenzyme A dehalogenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
4-hydroxyproline 2-epimerase 1	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
4-hydroxyproline betaine 2-epimerase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
5-methyl-1-naphthoate 3-hydroxylase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
5'-deoxyadenosine deaminase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
6-carboxy-5,6,7,8-tetrahydropterin synthase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
6-deoxyerythronolide-B synthase EryA1, modules 1 and 2	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
6-deoxyerythronolide-B synthase EryA2, modules 3 and 4	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
6-hydroxypseudooxynicotine dehydrogenase complex subunit beta	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
6-hydroxypseudooxynicotine dehydrogenase complex subunit gamma	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
7-carboxy-7-deazaguanine synthase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
7-cyano-7-deazaguanine synthase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
ABC transporter arginine-binding protein 1	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
acetoacetate decarboxylase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Acetolactate synthase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Adenosyl-chloride synthase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Alkylsulfatase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG	1	Cloud	0	1	0	1	0	7.14285714285714	0.694444444444444
Alpha-ketoglutaric semialdehyde dehydrogenase	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Antitoxin Phd	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Antitoxin RelF	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Antitoxin VapB28	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
Antitoxin VapB32	1	Cloud	0	0	1	0	0.775193798449612	0	0.694444444444444
