"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000236965_prok","GCA_000763325_prok","GCA_001465325_prok","GCA_001665495_prok","GCA_001886355_prok","GCA_001894905_prok","GCA_002215235_prok","GCA_003004765_prok","GCA_003288095_prok","GCA_003633655_prok","GCA_004153645_prok","GCA_009831075_prok","GCA_900105195_prok","GCA_900177695_prok","GCA_900455725_prok"
"group_1009","recD_1","RecBCD enzyme subunit RecD","15","15","1","43","9915","","","","2609","4472","4243","GCA_000236965_prok_00125","GCA_000763325_prok_02675","GCA_001465325_prok_01878","GCA_001665495_prok_00138","GCA_001886355_prok_00747","GCA_001894905_prok_04528","GCA_002215235_prok_00350","GCA_003004765_prok_03182","GCA_003288095_prok_01972","GCA_003633655_prok_01128","GCA_004153645_prok_00130","GCA_009831075_prok_00648","GCA_900105195_prok_03672","GCA_900177695_prok_00197","GCA_900455725_prok_00384"
"dnaJ2","","Chaperone protein DnaJ 2","15","15","1","43","7153","","","","1151","1151","1151","GCA_000236965_prok_00496","GCA_000763325_prok_04176","GCA_001465325_prok_01788","GCA_001665495_prok_02759","GCA_001886355_prok_02371","GCA_001894905_prok_00440","GCA_002215235_prok_03509","GCA_003004765_prok_04600","GCA_003288095_prok_03514","GCA_003633655_prok_04592","GCA_004153645_prok_01725","GCA_009831075_prok_04461","GCA_900105195_prok_02229","GCA_900177695_prok_04728","GCA_900455725_prok_01715"
"dnaJ1","","Chaperone protein DnaJ 1","15","15","1","43","4277","","","","1169","1187","1173","GCA_000236965_prok_01991","GCA_000763325_prok_00517","GCA_001465325_prok_00536","GCA_001665495_prok_02681","GCA_001886355_prok_03274","GCA_001894905_prok_01795","GCA_002215235_prok_01666","GCA_003004765_prok_00930","GCA_003288095_prok_04356","GCA_003633655_prok_03687","GCA_004153645_prok_03960","GCA_009831075_prok_03228","GCA_900105195_prok_01386","GCA_900177695_prok_04167","GCA_900455725_prok_02531"
"ldtB","","L,D-transpeptidase 2","15","15","1","43","1545","","","","1157","1220","1211","GCA_000236965_prok_00562","GCA_000763325_prok_02906","GCA_001465325_prok_01397","GCA_001665495_prok_04108","GCA_001886355_prok_00981","GCA_001894905_prok_02256","GCA_002215235_prok_04008","GCA_003004765_prok_03380","GCA_003288095_prok_02193","GCA_003633655_prok_00889","GCA_004153645_prok_00339","GCA_009831075_prok_00712","GCA_900105195_prok_03455","GCA_900177695_prok_02502","GCA_900455725_prok_00600"
"ldtB_2","","L,D-transpeptidase 2","15","15","1","43","5818","","","","842","941","898","GCA_000236965_prok_01384","GCA_000763325_prok_00771","GCA_001465325_prok_00159","GCA_001665495_prok_00726","GCA_001886355_prok_03520","GCA_001894905_prok_03419","GCA_002215235_prok_04120","GCA_003004765_prok_01299","GCA_003288095_prok_04633","GCA_003633655_prok_03414","GCA_004153645_prok_01142","GCA_009831075_prok_03289","GCA_900105195_prok_01129","GCA_900177695_prok_00481","GCA_900455725_prok_02811"
"selA","","L-seryl-tRNA(Sec) selenium transferase","15","15","1","43","1569","","","","1304","3044","1420","GCA_000236965_prok_00600","GCA_000763325_prok_02929","GCA_001465325_prok_01367","GCA_001665495_prok_04085","GCA_001886355_prok_01019","GCA_001894905_prok_02218","GCA_002215235_prok_03982","GCA_003004765_prok_03406","GCA_003288095_prok_02216","GCA_003633655_prok_00852","GCA_004153645_prok_02151","GCA_009831075_prok_00738","GCA_900105195_prok_03417","GCA_900177695_prok_02528","GCA_900455725_prok_00625"
"ramA_2","","HTH-type transcriptional activator RamA","15","15","1","43","1745","","","","863","863","863","GCA_000236965_prok_00701","GCA_000763325_prok_03111","GCA_001465325_prok_01116","GCA_001665495_prok_02889","GCA_001886355_prok_01189","GCA_001894905_prok_02022","GCA_002215235_prok_03826","GCA_003004765_prok_03552","GCA_003288095_prok_02412","GCA_003633655_prok_00661","GCA_004153645_prok_02290","GCA_009831075_prok_00817","GCA_900105195_prok_03221","GCA_900177695_prok_02690","GCA_900455725_prok_00764"
"malT_3","","HTH-type transcriptional regulator MalT","15","15","1","43","10925","","","","2579","2642","2590","GCA_000236965_prok_01197","GCA_000763325_prok_02323","GCA_001465325_prok_02603","GCA_001665495_prok_01887","GCA_001886355_prok_00361","GCA_001894905_prok_04398","GCA_002215235_prok_02342","GCA_003004765_prok_02834","GCA_003288095_prok_01636","GCA_003633655_prok_01461","GCA_004153645_prok_02986","GCA_009831075_prok_01816","GCA_900105195_prok_04093","GCA_900177695_prok_03597","GCA_900455725_prok_04187"
"crtB_2","","15-cis-phytoene synthase","15","15","1","43","7356","","","","938","938","938","GCA_000236965_prok_00966","GCA_000763325_prok_04057","GCA_001465325_prok_03343","GCA_001665495_prok_01447","GCA_001886355_prok_02149","GCA_001894905_prok_00558","GCA_002215235_prok_03629","GCA_003004765_prok_04480","GCA_003288095_prok_03337","GCA_003633655_prok_04796","GCA_004153645_prok_01608","GCA_009831075_prok_00039","GCA_900105195_prok_02347","GCA_900177695_prok_04610","GCA_900455725_prok_01595"
"crtB_1","","15-cis-phytoene synthase","15","15","1","43","3675","","","","695","971","950","GCA_000236965_prok_01512","GCA_000763325_prok_01434","GCA_001465325_prok_02788","GCA_001665495_prok_04214","GCA_001886355_prok_03755","GCA_001894905_prok_01284","GCA_002215235_prok_01846","GCA_003004765_prok_01858","GCA_003288095_prok_00704","GCA_003633655_prok_02403","GCA_004153645_prok_00544","GCA_009831075_prok_00950","GCA_900105195_prok_00351","GCA_900177695_prok_01508","GCA_900455725_prok_03338"
